last update,cowls,,robes,,sandals,,hoods,,jackets,,shoes,,`,,armors,,boots,
2025-02-07 13:18:31,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price,item,price
,mage cowl_6_0,17014,mage robe_6_0,42716,mage sandals_6_0,11946,assassin hood_6_0,27512,assassin jacket_6_0,55024,assassin shoes_6_0,29684,guardian helmet_6_0,26426,guardian armor_6_0,40544,guardian boots_6_0,24616
,mage cowl_6_1,26788,mage robe_6_1,68103,mage sandals_6_1,54300,assassin hood_6_1,45612,assassin jacket_6_1,137655,assassin shoes_6_1,54300,guardian helmet_6_1,45612,guardian armor_6_1,52164,guardian boots_6_1,41992
,mage cowl_6_2,82593,mage robe_6_2,249142,mage sandals_6_2,194166,assassin hood_6_2,117369,assassin jacket_6_2,298391,assassin shoes_6_2,205758,guardian helmet_6_2,153594,guardian armor_6_2,301288,guardian boots_6_2,153594
,mage cowl_7_0,48508,mage robe_7_0,120267,mage sandals_7_0,94844,assassin hood_7_0,78916,assassin jacket_7_0,159390,assassin shoes_7_0,61540,guardian helmet_7_0,50680,guardian armor_7_0,124716,guardian boots_7_0,36924
,mage cowl_7_1,105777,mage robe_7_1,263627,mage sandals_7_1,146349,assassin hood_7_1,157941,assassin jacket_7_1,356331,assassin shoes_7_1,147798,guardian helmet_7_1,144900,guardian armor_7_1,327361,guardian boots_7_1,150696
,mage cowl_7_2,428756,mage robe_7_2,509872,mage sandals_7_2,373713,assassin hood_7_2,417168,assassin jacket_7_2,811160,assassin shoes_7_2,307082,guardian helmet_7_2,272318,guardian armor_7_2,787984,guardian boots_7_2,124571
,mage cowl_8_0,152145,mage robe_8_0,263627,mage sandals_8_0,176778,assassin hood_8_0,68103,assassin jacket_8_0,301288,assassin shoes_8_0,115920,guardian helmet_8_0,47817,guardian armor_8_0,202790,guardian boots_8_0,88389
,mage cowl_8_1,205687,mage robe_8_1,434550,mage sandals_8_1,347640,assassin hood_8_1,234657,assassin jacket_8_1,805366,assassin shoes_8_1,269421,guardian helmet_8_1,327361,guardian armor_8_1,1187770,guardian boots_8_1,269421
,mage cowl_8_2,927040,mage robe_8_2,1321032,mage sandals_8_2,521460,assassin hood_8_2,619958,assassin jacket_8_2,1819316,assassin shoes_8_2,753220,guardian helmet_8_2,677898,guardian armor_8_2,1541204,guardian boots_8_2,956010
,royal cowl_4_0,70399,royal robe_4_0,210858,royal sandals_4_0,92434,royal hood_4_0,81699,royal jacket_4_0,217186,royal shoes_4_0,68591,royal helmet_4_0,69608,royal armor_4_0,176732,royal boots_4_0,96615
,royal cowl_4_1,112404,royal robe_4_1,214082,royal sandals_4_1,109752,royal hood_4_1,118728,royal jacket_4_1,122507,royal shoes_4_1,80376,royal helmet_4_1,109140,royal armor_4_1,240130,royal boots_4_1,111588
,royal cowl_4_2,129360,royal robe_4_2,194040,royal sandals_4_2,109340,royal hood_4_2,93170,royal jacket_4_2,213290,royal shoes_4_2,130900,royal helmet_4_2,130515,royal armor_4_2,254870,royal boots_4_2,125125
,royal cowl_5_0,228260,royal robe_5_0,292185,royal sandals_5_0,174924,royal hood_5_0,239560,royal jacket_5_0,460248,royal shoes_5_0,249278,royal helmet_5_0,163398,royal armor_5_0,482445,royal boots_5_0,237978
,royal cowl_5_1,238909,royal robe_5_1,504485,royal sandals_5_1,263329,royal hood_5_1,157509,royal jacket_5_1,512635,royal shoes_5_1,264550,royal helmet_5_1,279202,royal armor_5_1,475145,royal boots_5_1,239723
,royal cowl_5_2,263340,royal robe_5_2,532494,royal sandals_5_2,285670,royal hood_5_2,231770,royal jacket_5_2,481707,royal shoes_5_2,344960,royal helmet_5_2,346500,royal armor_5_2,541728,royal boots_5_2,238700
,royal cowl_6_0,476103,royal robe_6_0,947535,royal sandals_6_0,451188,royal hood_6_0,474291,royal jacket_6_0,956585,royal shoes_6_0,441675,royal helmet_6_0,409512,royal armor_6_0,772870,royal boots_6_0,485163
,royal cowl_6_1,433580,royal robe_6_1,570500,royal sandals_6_1,220050,royal hood_6_1,491445,royal jacket_6_1,1013860,royal shoes_6_1,519155,royal helmet_6_1,516710,royal armor_6_1,821520,royal boots_6_1,515080
,royal cowl_6_2,284715,royal robe_6_2,978804,royal sandals_6_2,437076,royal hood_6_2,332424,royal jacket_6_2,1418958,royal shoes_6_2,312417,royal helmet_6_2,555579,royal armor_6_2,1037286,royal boots_6_2,377055
,royal cowl_7_0,905905,royal robe_7_0,1964935,royal sandals_7_0,961110,royal hood_7_0,772870,royal jacket_7_0,1888873,royal shoes_7_0,729430,royal helmet_7_0,770155,royal armor_7_0,2013832,royal boots_7_0,750245
,royal cowl_7_1,1035050,royal robe_7_1,1446996,royal sandals_7_1,1017120,royal hood_7_1,1106770,royal jacket_7_1,2128127,royal shoes_7_1,875310,royal helmet_7_1,1100250,royal armor_7_1,1684903,royal boots_7_1,831300
,royal cowl_7_2,587898,royal robe_7_2,1852956,royal sandals_7_2,1394334,royal hood_7_2,818748,royal jacket_7_2,1994544,royal shoes_7_2,1237356,royal helmet_7_2,1283526,royal armor_7_2,2480868,royal boots_7_2,1215810
,royal cowl_8_0,2184066,royal robe_8_0,3186480,royal sandals_8_0,1063057,royal hood_8_0,1345573,royal jacket_8_0,3758598,royal shoes_8_0,2216664,royal helmet_8_0,1934148,royal armor_8_0,3621000,royal boots_8_0,1975801
,royal cowl_8_1,1691421,royal robe_8_1,2137904,royal sandals_8_1,1932587,royal hood_8_1,1857630,royal jacket_8_1,3030870,royal shoes_8_1,1349226,royal helmet_8_1,1088506,royal armor_8_1,2718006,royal boots_8_1,1593651
,royal cowl_8_2,2665548,royal robe_8_2,2634982,royal sandals_8_2,609444,royal hood_8_2,2160756,royal jacket_8_2,3595396,royal shoes_8_2,2413152,royal helmet_8_2,2253096,royal armor_8_2,4481932,royal boots_8_2,2997972
,druid cowl_4_0,15820,druid robe_4_0,10848,druid sandals_4_0,5650,stalker hood_4_0,7910,stalker jacket_4_0,7006,stalker shoes_4_0,5763,graveguard helmet_4_0,7006,graveguard armor_4_0,15142,graveguard boots_4_0,8362
,druid cowl_4_1,16320,druid robe_4_1,16687,druid sandals_4_1,11220,stalker hood_4_1,9384,stalker jacket_4_1,10989,stalker shoes_4_1,11016,graveguard helmet_4_1,7344,graveguard armor_4_1,17094,graveguard boots_4_1,6120
,druid cowl_4_2,26565,druid robe_4_2,35420,druid sandals_4_2,28875,stalker hood_4_2,11550,stalker jacket_4_2,46200,stalker shoes_4_2,12705,graveguard helmet_4_2,17710,graveguard armor_4_2,17710,graveguard boots_4_2,23485
,druid cowl_5_0,21922,druid robe_5_0,32616,druid sandals_5_0,13786,stalker hood_5_0,26216,stalker jacket_5_0,30804,stalker shoes_5_0,18758,graveguard helmet_5_0,11978,graveguard armor_5_0,19932,graveguard boots_5_0,16950
,druid cowl_5_1,38258,druid robe_5_1,42380,druid sandals_5_1,22385,stalker hood_5_1,32967,stalker jacket_5_1,34230,stalker shoes_5_1,24827,graveguard helmet_5_1,25234,graveguard armor_5_1,30970,graveguard boots_5_1,31746
,druid cowl_5_2,80850,druid robe_5_2,96957,druid sandals_5_2,64680,stalker hood_5_2,73920,stalker jacket_5_2,98496,stalker shoes_5_2,79310,graveguard helmet_5_2,48510,graveguard armor_5_2,58482,graveguard boots_5_2,36190
,druid cowl_6_0,57078,druid robe_6_0,88690,druid sandals_6_0,51189,stalker hood_6_0,50736,stalker jacket_6_0,68780,stalker shoes_6_0,71574,graveguard helmet_6_0,31257,graveguard armor_6_0,64255,graveguard boots_6_0,35334
